State_Num,City_Num,EMPLOYER_num,OCCUPATION_num,party_label
39,1154,2,2,1
6,461,4,51,0
4,1561,1,1,0
37,668,5,1,1
13,4340,1987,267,0
21,76,1,1,0
50,281,2,2,1
4,254,779,37,1
12,192,280,479,1
42,14800,19079,12,0
1,349,4,11656,1
24,1884,1,1,0
27,37,1,1,0
48,2593,2,2,1
19,1913,168792,11,0
12,193,3,1,1
28,5306,309,176,0
36,2083,2,2,1
12,950,26,329,1
15,382,1,100,1
36,1373,5,25,1
12,3199,1,1,0
10,806,6861,1,1
16,13840,1,1,0
29,2654,1,1,0
50,6091,7984,28,1
21,3604,2,1,1
39,1939,2,2,1
7,2024,1,1,0
33,678,3364,557,0
40,2600,1,1,0
40,1817,1,3,0
15,315,1,1,0
5,376,3,3,0
12,276,2,2,1
35,675,5,1,0
18,457,3041,5664,1
47,533,8986,870,1
17,121,2,2,1
5,1326,2,1,1
32,1554,1,1,0
22,4648,1,1,0
6,1676,3,2,1
48,1521,4,20,0
2,2,3,3,1
16,2372,1,1,0
4,3631,2,2,1
5,1679,3,2,1
49,4450,1502,37,1
36,557,1,1,0
20,355,1956,44,1
16,3374,68627,11,1
13,22,3,2,1
12,222,34890,23,1
5,10417,2,2,1
22,784,1,1,0
23,585,2,2,1
12,1577,1,1,0
47,533,1,1,0
12,232,3,3,1
32,2098,3,3,1
4,1001,2,2,1
4,1290,2,2,1
2,10214,3,2,1
2,2,36203,46,1
26,2198,193,213,0
2,1518,3,22,1
12,633,6960,7,1
12,1056,4,21327,0
33,11763,48,6458,1
7,3812,1,1,0
28,840,130,94,0
12,1626,1,1,0
5,440,1,1,0
3,603,2,2,1
12,1745,2,2,1
12,2658,2,2,1
40,1349,2,1,1
2,2,5,2,1
26,1404,19158,77,0
11,14,4,9,0
36,1373,4,472,1
23,887,2,2,1
15,4671,1,1,0
37,6146,7,18,1
36,5395,1527,7,1
2,2,126,549,1
39,6924,1,1,0
